"Product_Produit","Object-ID","Brand_Marque","Component-Type_Type-Composant","Model_Modele","Material_Materiau","Front-Wing-Surface_Surface-Aile-Avant_Cm2","Span-Length_Envergure-Longueur_Mm","Length_Longueur_Mm","High_Hauteur_Mm","Root-Chord_Empattement_Mm","Aspect-Ratio","Weight_Poids_g","Floatability_Flottabilite_L","Intended-Uses_Usages","Fuselage-Compatibility_Compatibilite-Fuselage","Box_Boitier"
"AFS-AFS Surf-Foil-Complet","14","AFS","Foil-Complet","AFS Surf","Carbon - Carbone","1295","800","724","730","","","","","Sup - surf","","Tuttle"
"AFS-F800-Front Wing - Aile avant","17","AFS","Front Wing - Aile avant","F800","Carbon - Carbone","1120","800","","","","","","","Windsurfing","",""
"AFS-R1000-Front Wing - Aile avant","13","AFS","Front Wing - Aile avant","R1000","Carbon - Carbone","800","1000","","","","","","","Windsurfing","",""
"AFS-F700-Front Wing - Aile avant","15","AFS","Front Wing - Aile avant","F700","Carbon - Carbone","779","700","","","","","","","Windsurfing","",""
"AFS-F700A-Front Wing - Aile avant","20","AFS","Front Wing - Aile avant","F700A","Carbon - Carbone","779","700","","","","","","","Windsurfing","",""
"AFS-R800-Front Wing - Aile avant","19","AFS","Front Wing - Aile avant","R800","Carbon - Carbone","752","800","","","","","","","Windsurfing","",""
"AFS-R750-Front Wing - Aile avant","18","AFS","Front Wing - Aile avant","R750","Carbon - Carbone","736","750","","","","","","","Windsurfing","",""
"AFS-F700S-Front Wing - Aile avant","16","AFS","Front Wing - Aile avant","F700S","Carbon - Carbone","655","700","","","","","","","Windsurfing","",""
"GONG-GONG FOIL ALLVATOR SURF_SUP FRONT WING PRO XXL-Front Wing - Aile avant","24","GONG","Front Wing - Aile avant","GONG FOIL ALLVATOR SURF_SUP FRONT WING PRO XXL","Mix - m�lange","2609","1200","","","","","3.4","4.2","Sup - surf","",""
"GONG-GONG FOIL ALLVATOR SURF_SUP FRONT WING XXL-Front Wing - Aile avant","25","GONG","Front Wing - Aile avant","GONG FOIL ALLVATOR SURF_SUP FRONT WING XXL","Mix - m�lange","2175","1000","","","","","2700","4.26","Sup - surf","",""
"GONG-GONG FOIL ALLVATOR SURF_SUP FRONT WING XL-Front Wing - Aile avant","30","GONG","Front Wing - Aile avant","GONG FOIL ALLVATOR SURF_SUP FRONT WING XL","Mix - m�lange","1844","900","","","","","2300","3.62","Sup - surf","",""
"GONG-GONG FOIL ALLVATOR SURF_SUP FRONT WING PRO XL-Front Wing - Aile avant","23","GONG","Front Wing - Aile avant","GONG FOIL ALLVATOR SURF_SUP FRONT WING PRO XL","Mix - m�lange","1733","920","","","","","2100","2.5","Sup - surf","",""
"GONG-GONG FOIL ALLVATOR SURF_SUP FRONT WING L-Front Wing - Aile avant","29","GONG","Front Wing - Aile avant","GONG FOIL ALLVATOR SURF_SUP FRONT WING L","Mix - m�lange","1643","800","","","","","2000","3.12","Sup - surf","",""
"GONG-GONG FOIL ALLVATOR SURF_SUP FRONT WING M-Front Wing - Aile avant","28","GONG","Front Wing - Aile avant","GONG FOIL ALLVATOR SURF_SUP FRONT WING M","Mix - m�lange","1258","700","","","","","1700","1.94","Sup - surf","",""
"GONG-GONG FOIL ALLVATOR SURF_SUP FRONT WING PRO L-Front Wing - Aile avant","22","GONG","Front Wing - Aile avant","GONG FOIL ALLVATOR SURF_SUP FRONT WING PRO L","Mix - m�lange","1227","770","","","","","1400","1.6","Sup - surf","",""
"GONG-GONG FOIL ALLVATOR SURF_SUP FRONT WING PRO M-Front Wing - Aile avant","21","GONG","Front Wing - Aile avant","GONG FOIL ALLVATOR SURF_SUP FRONT WING PRO M","Mix - m�lange","985","690","","","","","1300","1.2","Sup - surf","",""
"MOSES-MW873-Front Wing - Aile avant","4","MOSES","Front Wing - Aile avant","MW873","Carbon - Carbone","2100","873","","","304","","","","Sup - surf","MOSES-MFW900A-Fuselage, MOSES-MFS710-Fuselage, MOSES-MFS710A-Fuselage, MOSES-MFWR1100-Fuselage, MOSES-MFW900-Fuselage",""
"MOSES-MW790-Front Wing - Aile avant","5","MOSES","Front Wing - Aile avant","MW790","Carbon - Carbone","1529","790","","","246","4.3","","","Sup - surf, Windsurfing, Kitesurfing","MOSES-MFW900A-Fuselage, MOSES-MFS710-Fuselage, MOSES-MFS710A-Fuselage, MOSES-MFWR1100-Fuselage, MOSES-MFW900-Fuselage",""
"MOSES-MW633-Front Wing - Aile avant","2","MOSES","Front Wing - Aile avant","MW633","Carbon - Carbone","1239","633","","","256","3.3","","","Sup - surf","MOSES-MFW900A-Fuselage, MOSES-MFS710-Fuselage, MOSES-MFS710A-Fuselage, MOSES-MFWR1100-Fuselage, MOSES-MFW900-Fuselage",""
"MOSES-MW900-Front Wing - Aile avant","7","MOSES","Front Wing - Aile avant","MW900","Carbon - Carbone","1025","900","","","148.5","7.9","","","Windsurfing","",""
"MOSES-MW683-Front Wing - Aile avant","3","MOSES","Front Wing - Aile avant","MW683","Carbon - Carbone","1005","683","","","185","5.2","","","Sup - surf, Windsurfing","MOSES-MFW900A-Fuselage, MOSES-MFS710-Fuselage, MOSES-MFS710A-Fuselage, MOSES-MFWR1100-Fuselage, MOSES-MFW900-Fuselage",""
"MOSES-MW720-Front Wing - Aile avant","6","MOSES","Front Wing - Aile avant","MW720","Carbon - Carbone","746.4","720","","","136","6.95","","","Windsurfing","",""
"MOSES-MFWR1100-Fuselage","8","MOSES","Fuselage","MFWR1100","Aluminium","","","1100","","","","","","Windsurfing","",""
"MOSES-MFWR1100-Fuselage","9","MOSES","Fuselage","MFWR1100","Aluminium","","","1100","","","","","","Windsurfing","",""
"MOSES-MFS710-Fuselage","10","MOSES","Fuselage","MFS710","Mix - m�lange","","","710","","","","","","Sup - surf, Kitesurfing","",""
"MOSES-MFS710A-Fuselage","11","MOSES","Fuselage","MFS710A","Aluminium","","","710","","","","","","Kitesurfing, Sup - surf","",""
"MOSES-MFW900-Fuselage","12","MOSES","Fuselage","MFW900","Mix - m�lange","","","900","","","","","","Windsurfing, Sup - surf, Kitesurfing","",""
"MOSES-MFW900A-Fuselage","49","MOSES","Fuselage","MFW900A","Aluminium","","","900","","","","","","Windsurfing","",""
"MOSES-MMW085-Mast - M�t","48","MOSES","Mast - M�t","MMW085","Carbon - Carbone","","","","850","","","1950","","Windsurfing","","Deep Tuttle"
"MOSES-MM075A-Mast - M�t","50","MOSES","Mast - M�t","MM075A","Aluminium","","","","750","","","2200","","Windsurfing, Kitesurfing, Sup - surf","","Adapter"
"MOSES-MMW085BM-Mast - M�t","51","MOSES","Mast - M�t","MMW085BM","Carbon - Carbone","","","","850","","","1850","","Windsurfing","","Deep Tuttle"
"PHANTOM-IRIS R-Complete foil - foil complet","31","PHANTOM","Complete foil - foil complet","IRIS R","Mix - m�lange","950","","1100","1100","","","","","Windsurfing","","Deep Tuttle"
"PHANTOM-IRIS F-Complete foil - foil complet","44","PHANTOM","Complete foil - foil complet","IRIS F","Mix - m�lange","800","","900","900","","","","","Windsurfing","","Deep Tuttle"
"PHANTOM-M40J Large-Front Wing - Aile avant","32","PHANTOM","Front Wing - Aile avant","M40J Large","Carbon - Carbone","950","","","","","","","","Windsurfing","",""
"PHANTOM-T700 Large-Front Wing - Aile avant","45","PHANTOM","Front Wing - Aile avant","T700 Large","Carbon - Carbone","950","","","","","","","","","",""
"PHANTOM-M40J Medium-Front Wing - Aile avant","33","PHANTOM","Front Wing - Aile avant","M40J Medium","Carbon - Carbone","800","","","","","","","","Windsurfing","",""
"PHANTOM-M40J Small-Front Wing - Aile avant","35","PHANTOM","Front Wing - Aile avant","M40J Small","Carbon - Carbone","550","","","","","","","","Windsurfing","",""
"PHANTOM-M40J X-small-Front Wing - Aile avant","37","PHANTOM","Front Wing - Aile avant","M40J X-small","Carbon - Carbone","350","","","","","","","","Windsurfing","",""
"PHANTOM-T700 Medium-Front Wing - Aile avant","46","PHANTOM","Front Wing - Aile avant","T700 Medium","Carbon - Carbone","","","","","","","","","","",""
"PHANTOM-110-Fuselage","40","PHANTOM","Fuselage","110","Aluminium","","","1100","","","","","","Windsurfing","",""
"PHANTOM-90-Fuselage","41","PHANTOM","Fuselage","90","Aluminium","","","1100","","","","","","Windsurfing","",""
"PHANTOM-M40J Small-Stabilizer - Stabilisateur","38","PHANTOM","Stabilizer - Stabilisateur","M40J Small","Carbon - Carbone","250","","","","","","","","Windsurfing","",""
"PHANTOM-T700 Small-Stabilizer - Stabilisateur","47","PHANTOM","Stabilizer - Stabilisateur","T700 Small","Carbon - Carbone","250","","","","","","","","","",""
"PHANTOM-M40J X-small-Stabilizer - Stabilisateur","39","PHANTOM","Stabilizer - Stabilisateur","M40J X-small","Carbon - Carbone","200","","","","","","","","Windsurfing","",""